,title,Genre,Created by,Starring,Composers,Country of origin,Original language,No. of seasons,No. of episodes,Executive producers,Cinematography,Editors,Running time,Production companies,Distributor,Original network,Picture format,Audio format,Original release,Running time (int),Final release,Theme music composer,Producer,Production location,Production locations,Based on,Developed by,Related shows,Narrated by,Opening theme,Production company,Preceded by,Producers,Composer,Editor,Camera setup,Written by,Directed by,Music by,Voices of,Ending theme,No. of series,Spanish,Original languages,Executive producer,Original work,Owned by,Toy(s),Web series,Creative directors,Followed by,Animator,Screenplay by,German,Japanese,Hangul,Hanja,Creative director,Budget,Portuguese,Turkish,Traditional,Simplified,Mandarin,Polish,Swedish,Produced by,Productioncompany ,Distributed by,Release date,Country,Language,Edited by,Presented by,First shown in,Also known as,Judges,French,Chinese,Inspired by,Box office,Book(s),Film(s),Direct-to-video,Musical(s),Video game(s),Soundtrack(s),Original music,Theme park attraction(s),Candy brand,Confections,Revised Romanization
290,True and the Rainbow Kingdom,"['Fantasy', 'Adventure']","['Jeff Borkin', 'Samuel Borkson', 'Arturo Sandoval III', 'Bill Schultz']",,,United StatesCanada,English,3 ,29 ,"['Mary Bredin', 'Frank Falcone', 'Robin Frank', 'Jeremy Larner', 'Bill Schultz', 'Pharrell Williams', 'For Netflix', 'Dominique Bazay']",,"['Tom Berger', 'Kelly Carlson Rajo Zakic']",22 minutes,"['Home Plate Entertainment', 'Guru Studio']",,Netflix,,,"August 11, 2017 (2017-08-11) –present (present)",22,present,,,,,Artworks by FriendsWithYou (Samuel Borkson and Arturo Sandoval III),"['Mary Bredin', 'Frank Falcone']",,,"""She's True!""",,,"['Erin Mackie\nJiro C. Okada', 'Supervising Producers', 'Christina Rotsaert', 'Nora Keely']",,,,,"['Mark Thornton & Todd Kauffman  Harold Harris', 'Jamie Whitney']","['Lorenzo Castelli', 'Joe Coupal', 'For Eggplant', ""Steve D'Angelo"", 'Terry Tompkins']","['Michela Luci', 'Jamie Watson', 'Daniel Pathan', 'Eric Peterson', 'Anna Bartlam', 'Dante Zee', 'Nicolas Aqui']",,,,,,,,,,"['Brandon James Scott (design)', 'Yurie Rocha (production)']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
291,Larva,"['Comedy', 'Animation', 'Slapstick']","TUBAn Co., Ltd",,,South Korea,,4,286 ,Sungjai AhnEugene Kang,,Byuong-wook AhnYoon-hee Jong,1–3 minutes per episode,,Synergy MediaImira Entertainment (Latin America),"['KBS 1TV (Season 1)', 'KBS 2TV (Season 2)', 'JEI TV (Season 3)', 'Netflix (Season 4)', 'GMA Network']",1080i (HDTV),,"March 26, 2011 (2011-03-26) –March 2019 (2019-03)",1,March 2019,,,,,,,,,,TUBA EntertainmentTUBAn (Season 3),,"['Ki-tae Kim', 'Ji-na Kim', 'Sang-koo Lee', 'Sean Song', 'Alex Sung', 'Catherine Yoon']",Great Park,,,,Joo-gong Maeng,,Bum-ki Hong,,,,KoreanEnglishFilipino>MandarinArabic,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"March 15, 2006",Larvae,,,,,,,,,,,,,,,,
292,DreamWorks Dragons: Rescue Riders,,,,,United States,English,2,26 + 3 specials ,,,,"['24 minutes (episodes)', '46 minutes (specials)']",,"['NBCUniversal Television Distribution', 'Netflix']",Netflix,HDTV 1080p,Stereo,"September 27, 2019 (2019-09-27) –present","['24 minutes (episodes)', '46 minutes (specials)']",present,,,,,How to Train Your Dragon,"['Jack Thomas', 'Johnny Belt', 'Robert Scull']",,,"""Rescue Riders Theme""by The Boom Clack",DreamWorks Animation Television,DreamWorks Dragons (2012–2018),,Joshua Moshier,,,"['Jack Thomas', 'Steve Altiere', 'Laura Bowes', 'John Tellegen']","['Steve Evangelatos', 'Glenn Harmon', 'Greg Rankin', 'T.J. Sullivan']",,"['Nicolas Cantu', 'Brennley Brown', 'Carlos Alazraqui', 'Moira Quirk', 'Roshon Fegan', 'Brad Grusnick']",,,,,Jack Thomas,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
293,Sugar Rush,Reality competition,,,,United States,English,3 ,32 ,"['Doneen Arquines', 'Dan Cutforth', 'Casey Kriley', 'Jane Lipsitz', 'Candace Nelson', 'Andrew Wallace']",Burke Heffner,,,,Netflix,Netflix,,,"July 13, 2018 (2018-07-13) –present (present)",,present,,,,,,,,,,,,,Robert ToTeras,,,,Ariel Boles,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Hunter March,,Sugar Rush: Extra Sweet (Season 3),"['Candace Nelson', 'Adriano Zumbo']",,,,,,,,,,,,,,,
294,Super Monsters,,Avi Arad,,,United StatesCanada,English,3,22 + 9 specials,Avi Arad(season 1-2)Allen Bohbot,,,22-23 minutes,Arad Animation(2017-2018)(season 1-2)ICON Creative Studio41 Entertainment,41E Distribution,Netflix,,,"October 13, 2017 (2017-10-13) –December 8, 2020 (2020-12-08)",22,"December 8, 2020",,,,,,,,,,,,,Allen Bohbot,,,,,,Elyse MalowayVincent TongErin MathewsAndrea LibmanAlessandro JulianiBritt McKillipNicole OliverIan James CorlettKathleen BarrBrian DrummondAshleigh BallTabitha St. GermainCathy Weseluck,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
295,Go! Go! Cory Carson,,"['Stanley Moore', 'Alex Woo']",,,United StatesFrance,,3,21,"['Alex Woo', 'Stanley Moore', 'Tone Thyne']",,,7-8 minutes,Kuku StudiosSuperprod StudioVTechNetflix Animation,Netflix,Netflix,HDTV 1080p,Dolby Digital 5.1,"January 4, 2020 (2020-01-04) –present",7,present,Ryan Shore,Tim Hahn,,,"""Go! Go! Smart Wheels""toy line by VTech",,,,,,,,Ryan Shore,T.M. Christopher,,,"['Stanley Moore', 'Alex Woo']",,,,,,EnglishFrench,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
296,Malibu Rescue,Action-adventureComedy,"['Savage Steve Holland', 'Scott McAboy']","['Ricardo Hurtado', 'Breanna Yde', 'Jackie R. Jacobson', 'Abby Donnelly', 'Alkoya Brunson']",,United States,English,1,8 ,"['Scott Thomas', 'Jed Elinoff', 'Savage Steve Holland', 'Scott McAboy']",Keith Dunkerley,,,"['Pacific Bay Entertainment', 'Entertainment Force']",Netflix,Netflix,,,"May 13, 2019 (2019-05-13) –present",,present,,Amy Sydorick,,,,,,,,,,,Zack Ryan,Michael John Bateman,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
297,The Magic School Bus Rides Again,"Children's, Educational",,,,United States  Canada,English,2,29 ,,,,25 minutes,Scholastic Entertainment9 Story Media GroupBrown Bag Films (specials),Netflix9 Story Media Group,Netflix  Qubo,,,"September 29, 2017 (2017-09-29) –April 13, 2018 (2018-04-13)",25,"April 13, 2018",Peter Lurye,,,,The Magic School Busby Joanna ColeBruce Degen,,,,"""Ride on the Magic School Bus"", performed by Lin-Manuel Miranda",,The Magic School Bus,,,,,,,,"['Kate McKinnon', 'Lily Tomlin']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
298,The Witcher,"['Fantasy', 'Serial drama', 'Adventure', 'Action']",Lauren Schmidt Hissrich,"['Henry Cavill', 'Freya Allan', 'Eamon Farren', 'Anya Chalotra', 'Joey Batey', 'MyAnna Buring', 'Royce Pierreson', 'Mimi Ndiweni', 'Wilson Radjou-Pujalte', 'Anna Shaffer', 'Mahesh Jadu']","['Sonya Belousova', 'Giona Ostinelli']","['United States', 'Poland']",English,1,8 ,"['Sean Daniel', 'Jason Brown', 'Tomasz Bagiński', 'Jarosław Sawko', 'Lauren Schmidt Hissrich', 'Alik Sakharov']","['Jean-Philippe Gossart', 'Gavin Struthers']","['Liana Del Giudice', 'Nick Arthurs', 'Jean-Daniel Fernandez-Qundez', 'Xavier Russell']",47–67 minutes,"['Sean Daniel Company', 'Stillking Films', 'Platige Image', 'One of Us', 'Cinesite']",Netflix,Netflix,"['4K (Ultra HD)', 'High dynamic range']",5.1 surround sound,"December 20, 2019 (2019-12-20) –present (present)",47,present,,,,,The Witcherby Andrzej Sapkowski,,,,,,,['Mike Ostrowski'],,,Single-camera,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
299,True and the Rainbow Kingdom,"['Fantasy', 'Adventure']","['Jeff Borkin', 'Samuel Borkson', 'Arturo Sandoval III', 'Bill Schultz']",,,United StatesCanada,English,3 ,29 ,"['Mary Bredin', 'Frank Falcone', 'Robin Frank', 'Jeremy Larner', 'Bill Schultz', 'Pharrell Williams', 'For Netflix', 'Dominique Bazay']",,"['Tom Berger', 'Kelly Carlson Rajo Zakic']",22 minutes,"['Home Plate Entertainment', 'Guru Studio']",,Netflix,,,"August 11, 2017 (2017-08-11) –present (present)",22,present,,,,,Artworks by FriendsWithYou (Samuel Borkson and Arturo Sandoval III),"['Mary Bredin', 'Frank Falcone']",,,"""She's True!""",,,"['Erin Mackie\nJiro C. Okada', 'Supervising Producers', 'Christina Rotsaert', 'Nora Keely']",,,,,"['Mark Thornton & Todd Kauffman  Harold Harris', 'Jamie Whitney']","['Lorenzo Castelli', 'Joe Coupal', 'For Eggplant', ""Steve D'Angelo"", 'Terry Tompkins']","['Michela Luci', 'Jamie Watson', 'Daniel Pathan', 'Eric Peterson', 'Anna Bartlam', 'Dante Zee', 'Nicolas Aqui']",,,,,,,,,,"['Brandon James Scott (design)', 'Yurie Rocha (production)']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
300,The Boss Baby: Back in Business,Comedy,,,"['Ben Bromfield', 'Ryan Elder']",United States,English,4,49 ,,,,24 minutes,,NBCUniversal Television DistributionNetflix,Netflix,,,"April 6, 2018 (2018-04-06) –present",24,present,"['J-Radical', 'Kool Kojak', 'Tis Himself']",,,,"['The Boss Baby (film)by Tom McGrath', 'The Boss Baby (book)by Marla Frazee']",Brandon Sawyer,,,,DreamWorks Animation Television,The Boss Baby,,,Matt Barrios,,,,,"['JP Karliak', 'Pierce Gagnon', 'Kevin Michael Richardson']",,,,,Brandon Sawyer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
301,Go! Go! Cory Carson,,"['Stanley Moore', 'Alex Woo']",,,United StatesFrance,,3,21,"['Alex Woo', 'Stanley Moore', 'Tone Thyne']",,,7-8 minutes,Kuku StudiosSuperprod StudioVTechNetflix Animation,Netflix,Netflix,HDTV 1080p,Dolby Digital 5.1,"January 4, 2020 (2020-01-04) –present",7,present,Ryan Shore,Tim Hahn,,,"""Go! Go! Smart Wheels""toy line by VTech",,,,,,,,Ryan Shore,T.M. Christopher,,,"['Stanley Moore', 'Alex Woo']",,,,,,EnglishFrench,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
302,StarBeam,,"['Loris Lunsford', 'Jason Netter']",,,Canada,English,2,16,"['Loris Kramer Lunsford', 'Jason Netter', 'Heather Puttock']",,"['Peter Faint', 'Kerr Holden']",11-14 minutes,,Netflix,Netflix,HDTV 1080p,Stereo,"April 3, 2020 (2020-04-03) –present",11,present,Earworm Sound,,,,,,,,"""StarBeam Theme""by Kathryn Rende",Kickstart Productions,,,Jim Latham,,,Noelle Wright,Johnny Darrell,,"['Nahanni Mitchell', 'Dean Petriw']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
303,Super Monsters,,Avi Arad,,,United StatesCanada,English,3,22 + 9 specials,Avi Arad(season 1-2)Allen Bohbot,,,22-23 minutes,Arad Animation(2017-2018)(season 1-2)ICON Creative Studio41 Entertainment,41E Distribution,Netflix,,,"October 13, 2017 (2017-10-13) –December 8, 2020 (2020-12-08)",22,"December 8, 2020",,,,,,,,,,,,,Allen Bohbot,,,,,,Elyse MalowayVincent TongErin MathewsAndrea LibmanAlessandro JulianiBritt McKillipNicole OliverIan James CorlettKathleen BarrBrian DrummondAshleigh BallTabitha St. GermainCathy Weseluck,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
304,The Magic School Bus Rides Again,"Children's, Educational",,,,United States  Canada,English,2,29 ,,,,25 minutes,Scholastic Entertainment9 Story Media GroupBrown Bag Films (specials),Netflix9 Story Media Group,Netflix  Qubo,,,"September 29, 2017 (2017-09-29) –April 13, 2018 (2018-04-13)",25,"April 13, 2018",Peter Lurye,,,,The Magic School Busby Joanna ColeBruce Degen,,,,"""Ride on the Magic School Bus"", performed by Lin-Manuel Miranda",,The Magic School Bus,,,,,,,,"['Kate McKinnon', 'Lily Tomlin']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
305,DreamWorks Dragons: Rescue Riders,,,,,United States,English,2,26 + 3 specials ,,,,"['24 minutes (episodes)', '46 minutes (specials)']",,"['NBCUniversal Television Distribution', 'Netflix']",Netflix,HDTV 1080p,Stereo,"September 27, 2019 (2019-09-27) –present","['24 minutes (episodes)', '46 minutes (specials)']",present,,,,,How to Train Your Dragon,"['Jack Thomas', 'Johnny Belt', 'Robert Scull']",,,"""Rescue Riders Theme""by The Boom Clack",DreamWorks Animation Television,DreamWorks Dragons (2012–2018),,Joshua Moshier,,,"['Jack Thomas', 'Steve Altiere', 'Laura Bowes', 'John Tellegen']","['Steve Evangelatos', 'Glenn Harmon', 'Greg Rankin', 'T.J. Sullivan']",,"['Nicolas Cantu', 'Brennley Brown', 'Carlos Alazraqui', 'Moira Quirk', 'Roshon Fegan', 'Brad Grusnick']",,,,,Jack Thomas,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
306,Go! Go! Cory Carson,,"['Stanley Moore', 'Alex Woo']",,,United StatesFrance,,3,21,"['Alex Woo', 'Stanley Moore', 'Tone Thyne']",,,7-8 minutes,Kuku StudiosSuperprod StudioVTechNetflix Animation,Netflix,Netflix,HDTV 1080p,Dolby Digital 5.1,"January 4, 2020 (2020-01-04) –present",7,present,Ryan Shore,Tim Hahn,,,"""Go! Go! Smart Wheels""toy line by VTech",,,,,,,,Ryan Shore,T.M. Christopher,,,"['Stanley Moore', 'Alex Woo']",,,,,,EnglishFrench,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
307,Chico Bon Bon: Monkey with a Tool Belt,,,,"['Mike Reagan', 'Bob Boyle']",United KingdomIreland,English,4,38,,,,14 minutes,"['Silvergate Media', 'Brown Bag Films']",Netflix,Netflix,,,"May 8 (2020-05-08) –December 29, 2020 (2020-12-29)",14,"December 29, 2020",,,,,Chico Bon Bon: Monkey with a Tool Belt by Chris Monroe,Bob Boyle,,,,,,Méabh BoylePauline Dunne,,,,Chris Monroe,Darragh O'Connell,,"['Robbie Daymond', 'Dayci Brookshire', 'Anthony Tedesco']",,,,,Bob Boyle,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
308,The Epic Tales of Captain Underpants,ActionAdventureComedy,Dav Pilkey,,Jared FaberFred Kron,United States,English,4,45 ,,,,24 minutes,"Titmouse, Inc. (animation service)Scholastic EntertainmentDreamWorks Animation Television",NBCUniversal Television DistributionNetflix,Netflix,HDTV 1080p,Stereo,"July 13, 2018 (2018-07-13) –present",24,present,Peter Hastings,Todd Grimes,,,Captain Underpantsby Dav PilkeyCaptain Underpants: The First Epic Movieby David Soren,Peter HastingsMark Banker,,Sean Astin,,,,,,,,,,,"['Nat Faxon', 'Ramone Hamilton', 'Jay Gragnani', 'Jorge Diaz', 'Peter Hastings']",,,,,Peter Hastings,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
309,Mighty Express,Animated series,Keith Chapman,,,United States Canada,English,2,18,,,,14 minutes,Spin Master EntertainmentNetflix StudiosAtomic Cartoons,Netflix,,,,,14,,Cooper Maden,,,,,,,,,,,"['Jonah Stroh, Dan Mokriy, Christina Sang-St. Catherine, David Sharples (Ep 105B-121B only), Marise Kruger, Shayna Fine (Ep 117A onward)', 'Executive: Jennifer Dodge, Keith Chapman, Ronnen Harary, Suzanne Bolch & John May (Eps 101A, 101B, 102A, 105B only)', 'Co-Executive: Laura Clunie & Toni Stevens']",,,,,['Clint Butler'],,"['Jay Hatton', 'Zoe Hatz', 'Meesha Contreras', 'Dylan Schombing', 'Tyler Nathan', 'Leo Orgil', 'Michela Luci', 'Ian Ho', 'Evan LeFeuvre', 'Annick Obonsawin', 'Gracen Daly']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
310,Spirit Riding Free,AnimationAdventure,,,Joachim HorsleyJames Allen Roberson,United States,English,10,68 ,"['Aury Wallington', 'Jim Schumann co-executive producer']",,,23 minutes,,NBCUniversal Television DistributionNetflix Streaming Services,Netflix,,,"May 5, 2017 (2017-05-05) –present (present)",23,present,Kari Kimmel,,,,Spirit: Stallion of the Cimarron by John Fusco,Aury Wallington,,,"""Riding Free"", performed by Maisy Stella",DreamWorks Animation Television,,,,,,,,,"['Amber Frank', 'Sydney Park', 'Bailey Gambertoglio', 'Darcy Rose Byrnes', 'Nolan North', 'Kari Wahlgren']","""Riding Free"" (Instrumental)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
311,Super Monsters,,Avi Arad,,,United StatesCanada,English,3,22 + 9 specials,Avi Arad(season 1-2)Allen Bohbot,,,22-23 minutes,Arad Animation(2017-2018)(season 1-2)ICON Creative Studio41 Entertainment,41E Distribution,Netflix,,,"October 13, 2017 (2017-10-13) –December 8, 2020 (2020-12-08)",22,"December 8, 2020",,,,,,,,,,,,,Allen Bohbot,,,,,,Elyse MalowayVincent TongErin MathewsAndrea LibmanAlessandro JulianiBritt McKillipNicole OliverIan James CorlettKathleen BarrBrian DrummondAshleigh BallTabitha St. GermainCathy Weseluck,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
312,Trash Truck,,Max Keane,,,United States,English,N/A,12 + Special,"['Max Keane', 'Glen Keane', 'Gennie Rim']",,,12-17 minutes,"['Chromosphere Studio', 'Max Keane Productions']",Netflix,Netflix,HDTV 1080p,Stereo,"November 10, 2020 (2020-11-10)",12,11,Pollen Music Group,,,,Trash Truckby Max Keane,,,,"""Trash Truck"" Theme",,,,Stephen Spies,Sally Bergom,,,,,"['Henry Keane', 'Glen Keane']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
313,The Unremarkable Juanquini,,,"['Antonio Sanint', 'Maria Cecilia Sanchez', 'Julián Cerati', 'Mariana Gómez', 'Júlio César Herrera']",,Colombia,Spanish,1,7,,,,24-39 minutes,,Netflix,Netflix,,,15 May 2020 (2020-05-15),24,05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
314,The Magic School Bus Rides Again,"Children's, Educational",,,,United States  Canada,English,2,29 ,,,,25 minutes,Scholastic Entertainment9 Story Media GroupBrown Bag Films (specials),Netflix9 Story Media Group,Netflix  Qubo,,,"September 29, 2017 (2017-09-29) –April 13, 2018 (2018-04-13)",25,"April 13, 2018",Peter Lurye,,,,The Magic School Busby Joanna ColeBruce Degen,,,,"""Ride on the Magic School Bus"", performed by Lin-Manuel Miranda",,The Magic School Bus,,,,,,,,"['Kate McKinnon', 'Lily Tomlin']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
315,The Queen's Gambit,Period drama,"['Scott Frank', 'Allan Scott']","['Anya Taylor-Joy', 'Bill Camp', 'Moses Ingram', 'Isla Johnston', 'Christiane Seidel', 'Rebecca Root', 'Chloe Pirrie', 'Akemnji Ndifornyen', 'Marielle Heller', 'Harry Melling', 'Patrick Kennedy', 'Jacob Fortune-Lloyd', 'Thomas Brodie-Sangster', 'Marcin Dorociński']",,United States,English,N/A,7 ,"['William Horberg', 'Allan Scott', 'Scott Frank']",Steven Meizler,,46–67 minutes,"['Flitcraft Ltd', 'Wonderful Films']",,Netflix,,,"October 23, 2020 (2020-10-23)",46,10,,,,,The Queen's Gambitby Walter Tevis,,,,,,,"['Marcus Loges', 'Mick Aniceto']",,Michelle Tesoro,,Scott Frank,Scott Frank,Carlos Rafael Rivera,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
316,You vs. Wild,,Robert BuchtaBear GryllsDelbert Shoopman,Bear Grylls,,USA,English,1,8,,,,,,Netflix,Netflix,,,"April 10, 2019 (2019-04-10)",,04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
317,Fate: The Winx Saga,"['Teen drama', 'Supernatural', 'Fantasy']",Brian Young,"['Abigail Cowen', 'Hannah van der Westhuysen', 'Precious Mustapha', 'Eliot Salt', 'Elisha Applebaum', 'Danny Griffin', 'Sadie Soverall', 'Freddie Thorp', 'Eva Birthistle', 'Robert James-Collier', 'Eve Best', 'Lesley Sharp']",,"['United Kingdom', 'Italy']",English,1,6,"['Brian Young', 'Judy Counihan', 'Kris Thykier', 'Cristiana Buzzelli', 'Joanne Lee']","['Frida Wendel', 'Tim Fleming', 'Baz Irvine']","['Laura Morrod', 'Mike Jones', 'Adam Green']",47–53 minutes,"['Archery Pictures', 'Young Blood Productions', 'Rainbow S.p.A. (ViacomCBS)']",Netflix,Netflix,"['1080p (2:1 HDTV)', '2160p (2:1 4K UHD)']",Dolby Digital 5.1,22 January 2021 (2021-01-22) –present (present),47,present,,,Ireland,,Winx Clubby Iginio Straffi,,,,,,,"['Jon Finn', 'Macdara Kelleher', 'John Keville']",Anne Nikitin,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
318,Ginny & Georgia,Drama,Sarah Lampert,"['Brianne Howey', 'Antonia Gentry', 'Diesel La Torraca', 'Jennifer Robertson', 'Felix Mallard', 'Sara Waisglass', 'Scott Porter', 'Raymond Ablack', 'Mason Temple']",,United States,English,N/A,N/A,"['Sarah Lampert', 'Debra J. Fisher', 'Anya Adams', 'Jeff Tahler', 'Jenny Daly', 'Holly Hines', 'Daniel March']",,,,"['Madica Productions', 'Critical Content', 'Dynamic Television']",,Netflix,,,,,,,,,"Toronto, Canada",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
319,Clickbait,,,"['Zoe Kazan', 'Betty Gabriel', 'Adrian Grenier', 'Phoenix Raei', 'Abraham Lim', 'Jessie Collins', 'Ian Meadows', 'Daniel Henshall', 'Steve Mouzakis', 'Motell Foster', 'Jaylin Fletcher', 'Cameron Engels']",,United StatesAustralia,English,N/A,N/A,"['Tony Ayres', 'David Heyman', 'Tom Winchester']",,,,"['Matchbox Pictures', 'Tony Ayres Productions', 'Heyday Television']",,Netflix,,,,,,,,,,,,,,,,,"['Tom Hoffie', 'Joanna Werner']",,,,,"['Brad Anderson', 'Emma Freeman', 'Ben Young', 'Laura Besley']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
320,Inventing Anna,,Shonda Rhimes,"['Anna Chlumsky', 'Julia Garner', 'Katie Lowes', 'Laverne Cox', 'Alexis Floyd', 'Arian Moayed', 'Anders Holm', 'Anna Deavere Smith', 'Jeff Perry', 'Terry Kinney']",,United States,English,N/A,N/A,"['Shonda Rhimes', 'Betsy Beers', 'David Frankel']",,,,,,Netflix,,,,,,,Jessica Pressler,,,"""How Anna Delvey Tricked New York’s Party People"" by Jessica Pressler",,,,,Shondaland,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
321,Jupiter's Legacy,,Steven S. DeKnight,"['Josh Duhamel', 'Ben Daniels', 'Leslie Bibb', 'Elena Kampouris', 'Andrew Horton', 'Mike Wade', 'Matt Lanter']",,United States,English,N/A,N/A,"['Steven S. DeKnight', 'Lorenzo di Bonaventura', 'Dan McDermott', 'Sang Kyu Kim']",,,,"['Di Bonaventura Pictures', 'DeKnight Productions', 'Millarworld Production']",Netflix,Netflix,,,,,,,,,,Jupiter's Legacy by  Mark Millar & Frank Quitely,,,,,,,,,,Single-camera,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
322,Maid,,Molly Smith Metzler,"['Margaret Qualley', 'Nick Robinson', 'Anika Noni Rose', 'Andie MacDowell', 'Tracy Vilar', 'Billy Burke']",,United States,English,N/A,N/A,"['Molly Smith Metzler', 'John Wells', 'Erin Jontow', 'Margot Robbie', 'Tom Ackerley', 'Brett Hedblom', 'Stephanie Land']",,,,"['John Wells Productions', 'LuckyChap Entertainment', 'Warner Bros. Television']",,Netflix,,,,,,,,,"Victoria, British Columbia",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Maid: Hard Work, Low Pay, and a Mother’s Will to Surviveby Stephanie Land",,,,,,,,,,,,
323,Midnight Mass,,Mike Flanagan,"['Zach Gilford', 'Kate Siegel', 'Hamish Linklater']",,United States,English,N/A,N/A,"['Jeff Howard', 'Trevor Macy', 'Mike Flanagan']",Michael Fimognari,,,,,Netflix,,,,,,The Newton Brothers,,,,,,,,,Intrepid Pictures,,,,,,,Mike Flanagan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
324,Pieces of Her,,Charlotte Stoudt,"['Toni Collette', 'Bella Heathcote', 'David Wenham', 'Jessica Barden', 'Joe Dempsie', 'Jacob Scipio', 'Omari Hardwick']",,United States,English,N/A,N/A,"['Charlotte Stoudt', 'Bruna Papandrea', 'Lesli Linka Glatter']",,,,"['Made Up Stories', 'Endeavor Content']",Netflix,Netflix,,,,,,,,,,Pieces of Her by  Karin Slaughter,,,,,,,,,,Single-camera,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
325,Baahubali: Before the Beginning,,,,,India,,N/A,N/A,,,['Dharmendra Kakarala'],,,Netflix,Netflix,,,,,,,,,,"The Rise of Sivagami,Chaturanga,Queen of Mahishmathiby Anand Neelakantan",,,,,Arka Media Works,,"['S. S. Rajamouli', 'Prasad Devineni']",,,,"Deva Katta, Anand Neelakantan, PraSankar","['Deva Katta', 'Praveen Sattaru']",,,,,,EnglishHindiTamilTelugu,,,,,,,Baahubali: The Lost Legends,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
326,Guillermo del Toro Presents10 After Midnight,,,,,United States,English,N/A,N/A,"['Guillermo del Toro', 'J. Miles Dale', 'Gary Ungar']",,,,Exile EntertainmentDouble Dare You,,Netflix,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
327,Kaos,,Charlie Covell,,,United Kingdom,English,N/A,N/A,"['Nina Lederman', 'Tanya Seghatchian', 'John Woodward']",,,,"['All3Media', 'Brightstar']",,Netflix,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
