,title,Genre,Created by,Starring,Composers,Country of origin,Original language,No. of seasons,No. of episodes,Executive producers,Cinematography,Editors,Running time,Production companies,Distributor,Original network,Picture format,Audio format,Original release,Running time (int),Final release,Theme music composer,Producer,Production location,Production locations,Based on,Developed by,Related shows,Narrated by,Opening theme,Production company,Preceded by,Producers,Composer,Editor,Camera setup,Written by,Directed by,Music by,Voices of,Ending theme,No. of series,Spanish,Original languages,Executive producer,Original work,Owned by,Toy(s),Web series,Creative directors,Followed by,Animator,Screenplay by,German,Japanese,Hangul,Hanja,Creative director,Budget,Portuguese,Turkish,Traditional,Simplified,Mandarin,Polish,Swedish,Produced by,Productioncompanies ,Distributed by,Release date,Country,Language,Edited by,Presented by,First shown in,Also known as,Judges,French,Chinese,Inspired by,Box office,Book(s),Film(s),Direct-to-video,Musical(s),Video game(s),Soundtrack(s),Original music,Theme park attraction(s),Candy brand,Confections,Revised Romanization
1053,StarBeam,,"['Loris Lunsford', 'Jason Netter']",,,Canada,English,2,16,"['Loris Kramer Lunsford', 'Jason Netter', 'Heather Puttock']",,"['Peter Faint', 'Kerr Holden']",11-14 minutes,,Netflix,Netflix,HDTV 1080p,Stereo,"April 3, 2020 (2020-04-03) –present",11,present,Earworm Sound,,,,,,,,"""StarBeam Theme""by Kathryn Rende",Kickstart Productions,,,Jim Latham,,,Noelle Wright,Johnny Darrell,,"['Nahanni Mitchell', 'Dean Petriw']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1054,Super Monsters,,Avi Arad,,,United StatesCanada,English,3,22 + 9 specials,Avi Arad(season 1-2)Allen Bohbot,,,22-23 minutes,Arad Animation(2017-2018)(season 1-2)ICON Creative Studio41 Entertainment,41E Distribution,Netflix,,,"October 13, 2017 (2017-10-13) –December 8, 2020 (2020-12-08)",22,"December 8, 2020",,,,,,,,,,,,,Allen Bohbot,,,,,,Elyse MalowayVincent TongErin MathewsAndrea LibmanAlessandro JulianiBritt McKillipNicole OliverIan James CorlettKathleen BarrBrian DrummondAshleigh BallTabitha St. GermainCathy Weseluck,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1055,The Magic School Bus Rides Again,"Children's, Educational",,,,United States  Canada,English,2,29 ,,,,25 minutes,Scholastic Entertainment9 Story Media GroupBrown Bag Films (specials),Netflix9 Story Media Group,Netflix  Qubo,,,"September 29, 2017 (2017-09-29) –April 13, 2018 (2018-04-13)",25,"April 13, 2018",Peter Lurye,,,,The Magic School Busby Joanna ColeBruce Degen,,,,"""Ride on the Magic School Bus"", performed by Lin-Manuel Miranda",,The Magic School Bus,,,,,,,,"['Kate McKinnon', 'Lily Tomlin']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1056,DreamWorks Dragons: Rescue Riders,,,,,United States,English,2,26 + 3 specials ,,,,"['24 minutes (episodes)', '46 minutes (specials)']",,"['NBCUniversal Television Distribution', 'Netflix']",Netflix,HDTV 1080p,Stereo,"September 27, 2019 (2019-09-27) –present","['24 minutes (episodes)', '46 minutes (specials)']",present,,,,,How to Train Your Dragon,"['Jack Thomas', 'Johnny Belt', 'Robert Scull']",,,"""Rescue Riders Theme""by The Boom Clack",DreamWorks Animation Television,DreamWorks Dragons (2012–2018),,Joshua Moshier,,,"['Jack Thomas', 'Steve Altiere', 'Laura Bowes', 'John Tellegen']","['Steve Evangelatos', 'Glenn Harmon', 'Greg Rankin', 'T.J. Sullivan']",,"['Nicolas Cantu', 'Brennley Brown', 'Carlos Alazraqui', 'Moira Quirk', 'Roshon Fegan', 'Brad Grusnick']",,,,,Jack Thomas,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1057,Go! Go! Cory Carson,,"['Stanley Moore', 'Alex Woo']",,,United StatesFrance,,3,21,"['Alex Woo', 'Stanley Moore', 'Tone Thyne']",,,7-8 minutes,Kuku StudiosSuperprod StudioVTechNetflix Animation,Netflix,Netflix,HDTV 1080p,Dolby Digital 5.1,"January 4, 2020 (2020-01-04) –present",7,present,Ryan Shore,Tim Hahn,,,"""Go! Go! Smart Wheels""toy line by VTech",,,,,,,,Ryan Shore,T.M. Christopher,,,"['Stanley Moore', 'Alex Woo']",,,,,,EnglishFrench,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1058,Chico Bon Bon: Monkey with a Tool Belt,,,,"['Mike Reagan', 'Bob Boyle']",United KingdomIreland,English,4,38,,,,14 minutes,"['Silvergate Media', 'Brown Bag Films']",Netflix,Netflix,,,"May 8 (2020-05-08) –December 29, 2020 (2020-12-29)",14,"December 29, 2020",,,,,Chico Bon Bon: Monkey with a Tool Belt by Chris Monroe,Bob Boyle,,,,,,Méabh BoylePauline Dunne,,,,Chris Monroe,Darragh O'Connell,,"['Robbie Daymond', 'Dayci Brookshire', 'Anthony Tedesco']",,,,,Bob Boyle,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1059,The Epic Tales of Captain Underpants,ActionAdventureComedy,Dav Pilkey,,Jared FaberFred Kron,United States,English,4,45 ,,,,24 minutes,"Titmouse, Inc. (animation service)Scholastic EntertainmentDreamWorks Animation Television",NBCUniversal Television DistributionNetflix,Netflix,HDTV 1080p,Stereo,"July 13, 2018 (2018-07-13) –present",24,present,Peter Hastings,Todd Grimes,,,Captain Underpantsby Dav PilkeyCaptain Underpants: The First Epic Movieby David Soren,Peter HastingsMark Banker,,Sean Astin,,,,,,,,,,,"['Nat Faxon', 'Ramone Hamilton', 'Jay Gragnani', 'Jorge Diaz', 'Peter Hastings']",,,,,Peter Hastings,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1060,Mighty Express,Animated series,Keith Chapman,,,United States Canada,English,2,18,,,,14 minutes,Spin Master EntertainmentNetflix StudiosAtomic Cartoons,Netflix,,,,,14,,Cooper Maden,,,,,,,,,,,"['Jonah Stroh, Dan Mokriy, Christina Sang-St. Catherine, David Sharples (Ep 105B-121B only), Marise Kruger, Shayna Fine (Ep 117A onward)', 'Executive: Jennifer Dodge, Keith Chapman, Ronnen Harary, Suzanne Bolch & John May (Eps 101A, 101B, 102A, 105B only)', 'Co-Executive: Laura Clunie & Toni Stevens']",,,,,['Clint Butler'],,"['Jay Hatton', 'Zoe Hatz', 'Meesha Contreras', 'Dylan Schombing', 'Tyler Nathan', 'Leo Orgil', 'Michela Luci', 'Ian Ho', 'Evan LeFeuvre', 'Annick Obonsawin', 'Gracen Daly']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1061,Spirit Riding Free,AnimationAdventure,,,Joachim HorsleyJames Allen Roberson,United States,English,10,68 ,"['Aury Wallington', 'Jim Schumann co-executive producer']",,,23 minutes,,NBCUniversal Television DistributionNetflix Streaming Services,Netflix,,,"May 5, 2017 (2017-05-05) –present (present)",23,present,Kari Kimmel,,,,Spirit: Stallion of the Cimarron by John Fusco,Aury Wallington,,,"""Riding Free"", performed by Maisy Stella",DreamWorks Animation Television,,,,,,,,,"['Amber Frank', 'Sydney Park', 'Bailey Gambertoglio', 'Darcy Rose Byrnes', 'Nolan North', 'Kari Wahlgren']","""Riding Free"" (Instrumental)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1062,Super Monsters,,Avi Arad,,,United StatesCanada,English,3,22 + 9 specials,Avi Arad(season 1-2)Allen Bohbot,,,22-23 minutes,Arad Animation(2017-2018)(season 1-2)ICON Creative Studio41 Entertainment,41E Distribution,Netflix,,,"October 13, 2017 (2017-10-13) –December 8, 2020 (2020-12-08)",22,"December 8, 2020",,,,,,,,,,,,,Allen Bohbot,,,,,,Elyse MalowayVincent TongErin MathewsAndrea LibmanAlessandro JulianiBritt McKillipNicole OliverIan James CorlettKathleen BarrBrian DrummondAshleigh BallTabitha St. GermainCathy Weseluck,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1063,Trash Truck,,Max Keane,,,United States,English,N/A,12 + Special,"['Max Keane', 'Glen Keane', 'Gennie Rim']",,,12-17 minutes,"['Chromosphere Studio', 'Max Keane Productions']",Netflix,Netflix,HDTV 1080p,Stereo,"November 10, 2020 (2020-11-10)",12,11,Pollen Music Group,,,,Trash Truckby Max Keane,,,,"""Trash Truck"" Theme",,,,Stephen Spies,Sally Bergom,,,,,"['Henry Keane', 'Glen Keane']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1064,The Unremarkable Juanquini,,,"['Antonio Sanint', 'Maria Cecilia Sanchez', 'Julián Cerati', 'Mariana Gómez', 'Júlio César Herrera']",,Colombia,Spanish,1,7,,,,24-39 minutes,,Netflix,Netflix,,,15 May 2020 (2020-05-15),24,05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1065,The Magic School Bus Rides Again,"Children's, Educational",,,,United States  Canada,English,2,29 ,,,,25 minutes,Scholastic Entertainment9 Story Media GroupBrown Bag Films (specials),Netflix9 Story Media Group,Netflix  Qubo,,,"September 29, 2017 (2017-09-29) –April 13, 2018 (2018-04-13)",25,"April 13, 2018",Peter Lurye,,,,The Magic School Busby Joanna ColeBruce Degen,,,,"""Ride on the Magic School Bus"", performed by Lin-Manuel Miranda",,The Magic School Bus,,,,,,,,"['Kate McKinnon', 'Lily Tomlin']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1066,The Queen's Gambit,Period drama,"['Scott Frank', 'Allan Scott']","['Anya Taylor-Joy', 'Bill Camp', 'Moses Ingram', 'Isla Johnston', 'Christiane Seidel', 'Rebecca Root', 'Chloe Pirrie', 'Akemnji Ndifornyen', 'Marielle Heller', 'Harry Melling', 'Patrick Kennedy', 'Jacob Fortune-Lloyd', 'Thomas Brodie-Sangster', 'Marcin Dorociński']",,United States,English,N/A,7 ,"['William Horberg', 'Allan Scott', 'Scott Frank']",Steven Meizler,,46–67 minutes,"['Flitcraft Ltd', 'Wonderful Films']",,Netflix,,,"October 23, 2020 (2020-10-23)",46,10,,,,,The Queen's Gambitby Walter Tevis,,,,,,,"['Marcus Loges', 'Mick Aniceto']",,Michelle Tesoro,,Scott Frank,Scott Frank,Carlos Rafael Rivera,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1067,You vs. Wild,,Robert BuchtaBear GryllsDelbert Shoopman,Bear Grylls,,USA,English,1,8,,,,,,Netflix,Netflix,,,"April 10, 2019 (2019-04-10)",,04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1068,Fate: The Winx Saga,"['Teen drama', 'Supernatural', 'Fantasy']",Brian Young,"['Abigail Cowen', 'Hannah van der Westhuysen', 'Precious Mustapha', 'Eliot Salt', 'Elisha Applebaum', 'Danny Griffin', 'Sadie Soverall', 'Freddie Thorp', 'Eva Birthistle', 'Robert James-Collier', 'Eve Best', 'Lesley Sharp']",,"['United Kingdom', 'Italy']",English,1,6,"['Brian Young', 'Judy Counihan', 'Kris Thykier', 'Cristiana Buzzelli', 'Joanne Lee']","['Frida Wendel', 'Tim Fleming', 'Baz Irvine']","['Laura Morrod', 'Mike Jones', 'Adam Green']",47–53 minutes,"['Archery Pictures', 'Young Blood Productions', 'Rainbow S.p.A. (ViacomCBS)']",Netflix,Netflix,"['1080p (2:1 HDTV)', '2160p (2:1 4K UHD)']",Dolby Digital 5.1,22 January 2021 (2021-01-22) –present (present),47,present,,,Ireland,,Winx Clubby Iginio Straffi,,,,,,,"['Jon Finn', 'Macdara Kelleher', 'John Keville']",Anne Nikitin,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1069,Ginny & Georgia,Drama,Sarah Lampert,"['Brianne Howey', 'Antonia Gentry', 'Diesel La Torraca', 'Jennifer Robertson', 'Felix Mallard', 'Sara Waisglass', 'Scott Porter', 'Raymond Ablack', 'Mason Temple']",,United States,English,N/A,N/A,"['Sarah Lampert', 'Debra J. Fisher', 'Anya Adams', 'Jeff Tahler', 'Jenny Daly', 'Holly Hines', 'Daniel March']",,,,"['Madica Productions', 'Critical Content', 'Dynamic Television']",,Netflix,,,,,,,,,"Toronto, Canada",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1070,Clickbait,,,"['Zoe Kazan', 'Betty Gabriel', 'Adrian Grenier', 'Phoenix Raei', 'Abraham Lim', 'Jessie Collins', 'Ian Meadows', 'Daniel Henshall', 'Steve Mouzakis', 'Motell Foster', 'Jaylin Fletcher', 'Cameron Engels']",,United StatesAustralia,English,N/A,N/A,"['Tony Ayres', 'David Heyman', 'Tom Winchester']",,,,"['Matchbox Pictures', 'Tony Ayres Productions', 'Heyday Television']",,Netflix,,,,,,,,,,,,,,,,,"['Tom Hoffie', 'Joanna Werner']",,,,,"['Brad Anderson', 'Emma Freeman', 'Ben Young', 'Laura Besley']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1071,Inventing Anna,,Shonda Rhimes,"['Anna Chlumsky', 'Julia Garner', 'Katie Lowes', 'Laverne Cox', 'Alexis Floyd', 'Arian Moayed', 'Anders Holm', 'Anna Deavere Smith', 'Jeff Perry', 'Terry Kinney']",,United States,English,N/A,N/A,"['Shonda Rhimes', 'Betsy Beers', 'David Frankel']",,,,,,Netflix,,,,,,,Jessica Pressler,,,"""How Anna Delvey Tricked New York’s Party People"" by Jessica Pressler",,,,,Shondaland,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1072,Jupiter's Legacy,,Steven S. DeKnight,"['Josh Duhamel', 'Ben Daniels', 'Leslie Bibb', 'Elena Kampouris', 'Andrew Horton', 'Mike Wade', 'Matt Lanter']",,United States,English,N/A,N/A,"['Steven S. DeKnight', 'Lorenzo di Bonaventura', 'Dan McDermott', 'Sang Kyu Kim']",,,,"['Di Bonaventura Pictures', 'DeKnight Productions', 'Millarworld Production']",Netflix,Netflix,,,,,,,,,,Jupiter's Legacy by  Mark Millar & Frank Quitely,,,,,,,,,,Single-camera,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1073,Maid,,Molly Smith Metzler,"['Margaret Qualley', 'Nick Robinson', 'Anika Noni Rose', 'Andie MacDowell', 'Tracy Vilar', 'Billy Burke']",,United States,English,N/A,N/A,"['Molly Smith Metzler', 'John Wells', 'Erin Jontow', 'Margot Robbie', 'Tom Ackerley', 'Brett Hedblom', 'Stephanie Land']",,,,"['John Wells Productions', 'LuckyChap Entertainment', 'Warner Bros. Television']",,Netflix,,,,,,,,,"Victoria, British Columbia",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Maid: Hard Work, Low Pay, and a Mother’s Will to Surviveby Stephanie Land",,,,,,,,,,,,
1074,Midnight Mass,,Mike Flanagan,"['Zach Gilford', 'Kate Siegel', 'Hamish Linklater']",,United States,English,N/A,N/A,"['Jeff Howard', 'Trevor Macy', 'Mike Flanagan']",Michael Fimognari,,,,,Netflix,,,,,,The Newton Brothers,,,,,,,,,Intrepid Pictures,,,,,,,Mike Flanagan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1075,Pieces of Her,,Charlotte Stoudt,"['Toni Collette', 'Bella Heathcote', 'David Wenham', 'Jessica Barden', 'Joe Dempsie', 'Jacob Scipio', 'Omari Hardwick']",,United States,English,N/A,N/A,"['Charlotte Stoudt', 'Bruna Papandrea', 'Lesli Linka Glatter']",,,,"['Made Up Stories', 'Endeavor Content']",Netflix,Netflix,,,,,,,,,,Pieces of Her by  Karin Slaughter,,,,,,,,,,Single-camera,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1076,Baahubali: Before the Beginning,,,,,India,,N/A,N/A,,,['Dharmendra Kakarala'],,,Netflix,Netflix,,,,,,,,,,"The Rise of Sivagami,Chaturanga,Queen of Mahishmathiby Anand Neelakantan",,,,,Arka Media Works,,"['S. S. Rajamouli', 'Prasad Devineni']",,,,"Deva Katta, Anand Neelakantan, PraSankar","['Deva Katta', 'Praveen Sattaru']",,,,,,EnglishHindiTamilTelugu,,,,,,,Baahubali: The Lost Legends,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1077,Guillermo del Toro Presents10 After Midnight,,,,,United States,English,N/A,N/A,"['Guillermo del Toro', 'J. Miles Dale', 'Gary Ungar']",,,,Exile EntertainmentDouble Dare You,,Netflix,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1078,Kaos,,Charlie Covell,,,United Kingdom,English,N/A,N/A,"['Nina Lederman', 'Tanya Seghatchian', 'John Woodward']",,,,"['All3Media', 'Brightstar']",,Netflix,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1079,Resident Evil,,,,,United States,English,N/A,N/A,"['Andrew Dabb', 'Bronwen Hughes']",,,42 minutes,,Netflix,Netflix,,,,42,,,,,,Resident Evilby Capcom,Andrew Dabb,,,,Constantin Film,,,,,Single-camera,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1080,Sex/Life,,,"['Mike Vogel', 'Sarah Shahi', 'Adam Demos', 'Margaret Odette']",,United States,English,N/A,N/A,"['Stacy Rukeyser', 'B.B. Easton', 'J. Miles Dale', 'Larry Robins']",,,,,,Netflix,,,,,,,,,"Mississauga, Canada",44 Chapters About 4 Menby B.B. Easton,Stacy Rukeyser,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1081,Sweet Tooth,,Jim Mickle,"['Christian Convery', 'Nonso Anozie', 'Adeel Akhtar', 'Will Forte', 'Dania Ramirez', 'Neil Sandilands', 'Stefania LaVie Owen', 'Aliza Vellani']",,United States,English,N/A,N/A,"['Robert Downey Jr.', 'Susan Downey', 'Jim Mickle', 'Amanda Burrell']",,,,"['DC Entertainment', 'Team Downey', 'Warner Bros. Television']",,Netflix,,,,,,,,New Zealand,,Sweet Toothby Jeff Lemire,,,James Brolin,,,,"['Linda Moran', 'Evan Moore']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1082,The Irregulars,,Tom Bidwell,"['Henry Lloyd-Hughes', 'Royce Pierreson', 'Clarke Peters', 'Thaddea Graham', 'Darci Shaw', 'Jojo Macari', 'McKell David', 'Harrison Osterfield']",,"['United States', 'United Kingdom']",English,N/A,N/A,"['Tom Bidwell', 'Greg Brenman', 'Jude Liknaitzky']",,,,,Netflix,Netflix,,,,,,,Rebecca Hodgson,,,The works of Sir Arthur Conan Doyle,,,,,Drama Republic,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1083,The Sandman,,,"['Tom Sturridge', 'Gwendoline Christie', 'Vivienne Acheampong', 'Boyd Holbrook', 'Charles Dance', 'Asim Chaudhry', 'Sanjeev Bhaskar']",,United States,English,N/A,N/A,"['Allan Heinberg', 'Neil Gaiman', 'David S. Goyer']",,,,"['DC Entertainment', 'Warner Bros. Television']",,Netflix,,,,,,,,,,"['Neil Gaiman', 'DC Comics']",Allan Heinberg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1084,The Witcher,"['Fantasy', 'Serial drama', 'Adventure', 'Action']",Lauren Schmidt Hissrich,"['Henry Cavill', 'Freya Allan', 'Eamon Farren', 'Anya Chalotra', 'Joey Batey', 'MyAnna Buring', 'Royce Pierreson', 'Mimi Ndiweni', 'Wilson Radjou-Pujalte', 'Anna Shaffer', 'Mahesh Jadu']","['Sonya Belousova', 'Giona Ostinelli']","['United States', 'Poland']",English,1,8 ,"['Sean Daniel', 'Jason Brown', 'Tomasz Bagiński', 'Jarosław Sawko', 'Lauren Schmidt Hissrich', 'Alik Sakharov']","['Jean-Philippe Gossart', 'Gavin Struthers']","['Liana Del Giudice', 'Nick Arthurs', 'Jean-Daniel Fernandez-Qundez', 'Xavier Russell']",47–67 minutes,"['Sean Daniel Company', 'Stillking Films', 'Platige Image', 'One of Us', 'Cinesite']",Netflix,Netflix,"['4K (Ultra HD)', 'High dynamic range']",5.1 surround sound,"December 20, 2019 (2019-12-20) –present (present)",47,present,,,,,The Witcherby Andrzej Sapkowski,,,,,,,['Mike Ostrowski'],,,Single-camera,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1085,Avatar: The Last Airbender,"['Action', 'Adventure', 'Fantasy', 'Comedy-drama']","['Michael Dante DiMartino', 'Bryan Konietzko']",,Jeremy ZuckermanBenjamin Wynn,United States,English,3,61 ,"['Michael Dante DiMartino', 'Bryan Konietzko', 'Aaron Ehasz (co-executive producer)']",,,23 minutes,['Nickelodeon Animation Studio'],ViacomCBS Domestic Media Networks,Nickelodeon,NTSC (480i),,"February 21, 2005 (2005-02-21) –July 19, 2008 (2008-07-19)",23,"July 19, 2008",,,,,,,,,,,,,,,,"['Aaron Ehasz (head writer)', ""John O'Bryan"", 'Elizabeth Welch Ehasz', 'Tim Hedrick', 'Joshua Hamilton', 'Michael Dante DiMartino', 'Bryan Konietzko', '(full list)']","['Giancarlo Volpe (19 episodes)', 'Ethan Spaulding (12 episodes)', 'Lauren MacMullan (11 episodes)', 'Dave Filoni (8 episodes)', 'Joaquim Dos Santos (8 episodes)', '(full list)']",,"['Zach Tyler Eisen', 'Mae Whitman', 'Jack DeSena', 'Dante Basco', 'Jessie Flower (seasons 2–3)', 'Dee Bradley Baker', 'Mako (seasons 1–2)', 'Greg Baldwin (season 3)', 'Grey DeLisle (seasons 2–3)', 'Mark Hamill']",,,,,,,,,,,The Legend of Korra,,,,,,,,,,,,,,,,,,,,,,,,,Avatar: The Legend of Aang,,,,,,,,,,,,,,,,
1086,Vikings: Valhalla,,"['Michael Hirst', 'Jeb Stuart']",,,"['Canada', 'Ireland', 'United States']",English,N/A,N/A,"['Morgan O’Sullivan', 'Channing Dungey', 'Michael Hirst', 'Sherry Marsh', 'Alan Gasmer']",,,,,MGM Television and Digital DistributionNetflix Streaming Services,Netflix,,,,,,,,,,,,,,,MGM Television,Vikings,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1087,The Green Beret’s Guide to Surviving the Apocalypse,,,"['Shawn Vance', 'Daril Fannin']",,United States,English,N/A,N/A,"['Shawn Vance', 'Daril Fannin', 'Matt Damon', 'Jennifer Todd', 'Peter Berg', 'Matt Goldberg', 'Brandon Carroll']",,,,"['Pearl Street Films', 'Film 45']",,Netflix,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1088,Good Times,Sitcom,Eric Monte and Mike Evans,"['Esther Rolle', 'John Amos', ""Ja'net Dubois"", 'Ralph Carter', 'Jimmie Walker', 'Bern Nadette Stanis', 'Johnny Brown', 'Janet Jackson', 'Ben Powers']",Dave GrusinAlan and Marilyn Bergman,United States,English,6,133 ,"['Norman Lear (1974-75)', 'Allan Manings (1975-77)', 'Austin and Irma Kalish (1977-78)', 'Norman Paul (1978-79)']",,,22–24 minutes,,PITS Films(1979-82)Embassy Telecommunications(1982-86)Embassy Communications(1986-88)Columbia Pictures Television(1988–1995)Columbia TriStar Television(1995-2002)Sony Pictures Television(2002-present),CBS,Color,,"February 8, 1974 (1974-02-08) –August 1, 1979 (1979-08-01)",22,"August 1, 1979","['Dave Grusin', 'Alan and Marilyn Bergman']",,,"CBS Television City, Hollywood, California (1974-75)Metromedia Square, Hollywood, California (1975-79)",,Norman Lear,Checking InThe JeffersonsArchie Bunker's PlaceGloria704 Hauser,,"""Good Times"" performed by Jim Gilstrap and Blinky Williams",Tandem Productions,All in the FamilyMaude,"['Allan Manings (1974-75)', 'Jack Elinson (1975-76)', 'Norman Paul (1975-76)', 'Austin and Irma Kalish (1976–77)', 'Lloyd Turner (1977-78)', 'Gordon Mitchell (1977-78)', 'Sid Dorfman (1978-79)']",,,Multi-camera,,"['Gerren Keith', 'Herbert Kenwith', 'Bob LaHendro', 'Donald McKayle', 'Perry Rosemond']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1089,Mulligan,,Robert CarlockSam Means,,,United States,English,N/A,N/A,"['Tina Fey', 'Robert Carlock', 'Sam Means']",,,,"['3 Arts Entertainment', 'Bento Box Entertainment', 'Universal Television', 'Little Stranger', 'Bevel Gears']",NBCUniversal Television Distribution,Netflix,,,,,,,Ayo Edebiri,,,,,,,,,,,,,,,,,Tina Fey,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1090,Q-Force,,Sean HayesMichael Schur,,,United States,English,N/A,N/A,"['Gabe Liedman', 'Todd Milliner', 'David Miner', 'Michael Schur', 'Sean Hayes']",,,,"['Universal Television', 'Hazy Mills Productions', 'Fremulon', '3 Arts Entertainment']",NBCUniversal Television Distribution,Netflix,,,,,,,,,,,,,,,,,,,,,Gabe Liedman,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1091,Army of the Dead: Lost Vegas,,,,,United States,English,N/A,N/A,"['Zack Snyder', 'Deborah Snyder', 'Wesley Coller', 'Jay Olivia', 'Shay Hatten']",,,,"['Netflix Animation', 'Meduzarts Animation', 'The Stone Quarry']",,Netflix,,,,,,,,,,Army of the Deadby Zack Snyder,Jay Oliva,,,,,,,,,,Shay Hatten,"['Jay Oliva', 'Zack Snyder']",,"['Dave Bautista', 'Ella Purnell', 'Ana de la Reguera', 'Tig Notaro', 'Omari Hardwick']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1092,Thermae Romae,,,Hiroshi AbeAya UetoKazuki KitamuraRiki TakeuchiKai ShishidoTakashi SasanoMasachika Ichimura,,,,N/A,N/A,,Kazunari Kawagoe,,108 minutes,,,,,,,108,,,,,,,,,,,,,,,,,Shōgo Mutō,Hideki Takeuchi,Norihito Sumimoto,,,,,,,,,,,,,,,,,,,,,,,,,,,,Chihiro KameyamaMinami IchikawaAtsushi TeradaHirokazu Hamamura,Fuji TelevisionTohoDentsuEnterbrain,Toho,"['April 28, 2012 (2012-04-28) (JPN)', 'September 6, 2012 (2012-09-06) (TIFF)']",Japan,Japanese,Hiroshi Matsuo,,,,,,,,"$75,387,554",,,,,,,,,,,
